5212 84
-66.001425 -58.232349 57.195179
-70.963265 -48.577091 63.805959
-70.769116 -47.484580 67.468921
-69.800320 -51.415003 61.653170
-69.487612 -47.919438 70.997418
-68.827947 -52.068647 65.499149
-68.236355 -50.560811 70.652241
-67.345179 -54.479785 65.770194
-66.609105 -56.396374 63.434711
-66.479189 -54.613774 68.587949
-68.079273 -49.682432 72.817529
-67.727778 -47.899099 76.648177
-67.274996 -30.484706 -4.587144
-68.672055 -33.429657 5.086509
-66.673011 -36.654974 3.124162
-65.493174 -38.791676 4.734219
-66.228545 -33.976576 -0.528772
-72.980709 -32.015871 17.231295
-71.880331 -34.578026 14.582201
-71.084007 -31.932421 9.900620
-69.897640 -36.131078 12.451249
-69.212604 -34.967585 8.575796
-67.612536 -38.451385 10.242682
-67.638899 -41.134927 15.012822
-66.326760 -40.308116 12.585688
-66.365620 -39.821145 7.902458
-73.142859 -32.116640 20.713157
-72.434099 -35.437564 26.189012
-71.635118 -35.379888 19.684852
-69.083062 -42.299453 29.022891
-69.647728 -40.811711 24.771769
-69.891286 -39.443186 19.769996
-68.039879 -43.732679 26.229380
-67.810103 -41.852681 18.671679
-74.644374 -35.640744 36.094710
-73.775517 -38.986233 38.622037
-73.068761 -38.134315 33.979200
-72.397754 -37.643698 31.245507
-72.415235 -41.749164 36.825817
-71.862288 -43.841512 39.945564
-71.127556 -41.573224 33.487547
-70.348314 -45.070253 36.153206
-74.628941 -38.338799 46.915063
-74.726774 -37.386467 43.565068
-74.740481 -36.598615 40.526998
-73.652670 -40.940796 45.065030
-72.462383 -43.173769 42.481100
-75.514346 -36.289874 57.052740
-75.172316 -36.983623 50.828330
-75.103006 -37.630171 54.255768
-74.402838 -40.358337 58.455332
-74.501324 -39.675676 54.781783
-73.145496 -43.794403 54.838096
-73.289676 -42.708599 51.001762
-73.056624 -44.601904 59.097631
-75.357274 -36.095451 62.951144
-74.978650 -38.273040 60.493795
-74.550256 -38.740978 64.352958
-74.155302 -37.447496 69.441812
-73.809865 -42.401788 61.161710
-73.588772 -40.078961 67.989834
-73.542376 -42.014744 64.910645
-72.728498 -45.279110 62.161957
-72.011510 -45.620390 65.975984
-71.427807 -44.480821 69.712904
-72.878722 -38.029740 72.765863
-72.094226 -41.249019 71.951484
-71.939170 -37.519960 76.245902
-70.638211 -40.641260 77.023993
-70.072981 -44.471833 74.535390
-70.441144 -39.000551 78.871002
-69.027861 -44.066454 77.874806
-69.624299 -36.030893 82.281028
-66.999095 -44.702122 81.631057
-70.559083 -19.605571 -4.572875
-69.616374 -24.415457 -4.768206
-69.163138 -19.436861 -8.976972
-67.979562 -23.382075 -9.044213
-67.180293 -18.552333 -13.419628
-67.793645 -27.085855 -6.781960
-66.583503 -22.515190 -12.690852
-73.747762 -18.794980 5.454301
-73.408391 -21.744117 4.496275
-72.489990 -18.577140 0.307522
-72.354500 -25.690826 5.295308
-72.090462 -22.009302 1.589150
-71.099370 -22.118421 -1.729791
-70.902921 -29.924039 5.682373
-71.017518 -25.977119 -0.194674
-69.697716 -29.769155 2.635683
-69.279677 -28.213254 -2.631553
-75.211124 -19.357531 15.219260
-74.712579 -25.593994 18.340204
-73.588579 -24.239443 14.825105
-74.307403 -20.207871 11.612578
-75.353117 -18.232441 8.584637
-73.654149 -25.915909 11.905835
-73.719595 -28.449576 15.889960
-73.214776 -22.808392 7.547941
-72.567349 -27.207308 9.139634
-73.263618 -29.152651 12.915344
-76.892543 -22.921955 27.397286
-76.101461 -21.688277 22.236891
-76.004708 -26.586776 25.960818
-75.141359 -21.544555 18.278478
-75.089734 -25.112326 20.325073
-73.542374 -31.400960 25.325139
-73.785312 -29.392313 18.883381
